Name,Ticker,Revenue,Domain,Founded,Country,City,State
HCA Healthcare,HCA,"$47,653,000,000",hcahealthcare.com,2000-06-02,US,,
Energy Transfer Equity,ET,"$47,487,000,000",energytransfer.com,1997-07-23,US,,
Caterpillar,CAT,"$45,462,000,000",caterpillar.com,1995-03-17,US,,
Nationwide,,"$43,939,000,000",nationwide.com,1994-04-03,US,,
Morgan Stanley,MS,"$43,642,000,000",morganstanley.com,1996-05-24,US,,
Liberty Mutual Insurance Group,LBH.JO,"$42,687,000,000",libertymutual.com,1996-09-13,US,,
New York Life Insurance,,"$42,296,000,000",newyorklife.com,1995-10-07,US,,
Goldman Sachs Group,GS,"$42,254,000,000",gs.com,1991-05-04,US,,
American Airlines Group,AAL,"$42,207,000,000",aa.com,1998-02-01,US,,
Best Buy,BBY,"$42,151,000,000",bestbuy.com,1994-03-03,US,,
Cigna,CI,"$41,616,000,000",cigna.com,1992-01-17,US,,
Charter Communications,CHTR,"$41,581,000,000",charter.com,1994-07-30,US,,
Delta Air Lines,DAL,"$41,244,000,000",delta.com,1993-11-23,US,,
Facebook,FB,"$40,653,000,000",facebook.com,1997-03-29,US,,
Honeywell International,HON,"$40,534,000,000",honeywell.com,1988-11-02,US,,
Merck,MRK,"$40,122,000,000",merck.com,1992-09-12,US,,
Allstate,ALL,"$38,524,000,000",allstate.com,1995-10-05,US,,
Tyson Foods,TSN,"$38,260,000,000",tysonfoods.com,2000-05-26,US,,
United Continental Holdings,UAL,"$37,736,000,000",united.com,1998-12-17,US,,
Oracle,ORCL,"$37,728,000,000",oracle.com,1988-01-12,US,,
Tech Data,TECD,"$36,775,000,000",techdata.com,1991-04-15,US,,
TIAA,,"$36,025,000,000",tiaa.org,1991-06-02,US,,
TJX,TJX,"$35,864,000,000",tjx.com,1997-07-03,US,,
American Express,AXP,"$35,583,000,000",americanexpress.com,1995-04-06,US,,
Coca-Cola,KO,"$35,410,000,000",coca-colacompany.com,1998-09-16,US,,
Publix Super Markets,,"$34,836,000,000",publix.com,1995-01-31,US,,
Nike,NKE,"$34,350,000,000",nike.com,1995-03-03,US,,
Andeavor,ANDV,"$34,204,000,000",andeavor.com,2001-11-16,US,,
World Fuel Services,INT,"$33,695,000,000",wfscorp.com,1995-12-13,US,,
Exelon,EXC,"$33,531,000,000",exeloncorp.com,1997-12-23,US,,
Massachusetts Mutual Life Insurance,,"$33,495,000,000",massmutual.com,1995-01-18,US,,
Rite Aid,RAD,"$32,845,000,000",riteaid.com,1996-03-28,US,,
ConocoPhillips,COP,"$32,584,000,000",conocophillips.com,2001-01-14,US,,
CHS,,"$31,934,000,000",chsinc.com,1996-09-01,US,,
3M,MMM,"$31,657,000,000",3m.com,1988-05-27,US,,
Time Warner,CHTR,"$31,271,000,000",timewarner.com,1994-04-28,US,,
General Dynamics,GD,"$30,973,000,000",generaldynamics.com,1998-07-20,US,,
USAA,,"$30,015,000,000",usaa.com,1994-02-12,US,,
Capital One Financial,COF,"$29,999,000,000",capitalone.com,1995-03-13,US,,
Deere,DE,"$29,737,000,000",johndeere.com,1997-12-06,US,,
INTL FCStone,SNEX,"$29,423,000,000",intlfcstone.com,2010-11-10,US,,
Northwestern Mutual,,"$29,331,000,000",northwesternmutual.com,1995-04-26,US,,
Enterprise Products Partners,EPD,"$29,241,000,000",enterpriseproducts.com,2001-06-29,US,,
Travelers Cos.,TRV,"$28,902,000,000",travelers.com,1996-02-24,US,,
Hewlett Packard Enterprise,HPE,"$28,871,000,000",hpe.com,1995-03-24,US,,
Philip Morris International,PM,"$28,748,000,000",pmi.com,1997-01-22,US,,
Twenty-First Century Fox,,"$28,500,000,000",21cf.com,2005-01-05,US,,
AbbVie,ABBV,"$28,216,000,000",abbvie.com,2012-02-28,US,,
Abbott Laboratories,ABT,"$27,390,000,000",abbott.com,1988-04-19,US,,
Progressive,PGR,"$26,839,000,000",progressive.com,1997-11-17,US,,
Arrow Electronics,ARW,"$26,812,000,000",arrow.com,1991-10-23,US,,
Kraft Heinz,KHC,"$26,232,000,000",kraftheinzcompany.com,2015-03-25,US,,
Plains GP Holdings,PAGP,"$26,223,000,000",plainsallamerican.com,1999-05-05,US,,
Gilead Sciences,GILD,"$26,107,000,000",gilead.com,1995-05-27,US,,
Mondelez International,MDLZ,"$25,896,000,000",mondelezinternational.com,2012-09-02,US,,
Northrop Grumman,NOC,"$25,803,000,000",northropgrumman.com,1999-11-30,US,,
Raytheon,,"$25,348,000,000",raytheon.com,1995-04-17,US,,
Macy’s,M,"$24,837,000,000",macysinc.com,2006-10-19,US,,
US Foods Holding,USFD,"$24,147,000,000",usfoods.com,2000-01-18,US,,
U.S. Bancorp,USB,"$23,996,000,000",usbank.com,1995-02-14,US,,
Dollar General,DG,"$23,471,000,000",dollargeneral.com,1996-08-19,US,,
International Paper,IP,"$23,302,000,000",internationalpaper.com,1997-10-24,US,,
Duke Energy,DUK,"$23,189,000,000",duke-energy.com,1997-05-14,US,,
Southern,SO,"$23,031,000,000",southerncompany.com,1998-11-20,US,,
Marriott International,MAR,"$22,894,000,000",marriott.com,1993-05-01,US,,
Avnet,AVT,"$22,872,000,000",avnet.com,1990-05-22,US,,
Eli Lilly,LLY,"$22,871,000,000",lilly.com,1991-10-05,US,,
Amgen,AMGN,"$22,849,000,000",amgen.com,1990-07-27,US,,
McDonald’s,MCD,"$22,820,000,000",aboutmcdonalds.com,2008-09-19,US,,
Starbucks,SBUX,"$22,386,000,000",starbucks.com,1993-10-25,US,,
Qualcomm,QCOM,"$22,291,000,000",qualcomm.com,1988-07-07,US,,
Dollar Tree,DLTR,"$22,245,000,000",dollartree.com,1997-08-20,US,,
PBF Energy,PBF,"$21,786,000,000",pbfenergy.com,2008-02-27,US,,
Icahn Enterprises,IEP,"$21,744,000,000",ielp.com,2000-11-17,US,,
Aflac,AFL,"$21,667,000,000",aflac.com,1995-03-07,US,,
AutoNation,AN,"$21,534,000,000",autonation.com,1995-11-14,US,,
Penske Automotive Group,PAG,"$21,389,000,000",penskeautomotive.com,2000-11-29,US,,
Whirlpool,WHR,"$21,253,000,000",whirlpoolcorp.com,1998-10-12,US,,
Union Pacific,,"$21,240,000,000",up.com,1994-12-05,US,,
Southwest Airlines,LUV,"$21,171,000,000",southwest.com,1997-01-05,US,,
ManpowerGroup,MAN,"$21,034,000,000",manpowergroup.com,2005-01-27,US,,
Thermo Fisher Scientific,,"$20,918,000,000",thermofisher.com,2006-07-05,US,,
Bristol-Myers Squibb,BMY,"$20,776,000,000",bms.com,1991-05-04,US,,
Halliburton,,"$20,620,000,000",halliburton.com,1995-10-17,US,,
Tenet Healthcare,THC,"$20,613,000,000",tenethealth.com,1995-12-21,US,,
Lear,LEA,"$20,467,000,000",lear.com,1995-04-24,US,,
Cummins,CMI,"$20,428,000,000",cummins.com,1990-09-18,US,,
Micron Technology,MU,"$20,322,000,000",micron.com,1994-02-12,US,,
Nucor,NUE,"$20,252,000,000",nucor.com,1997-02-18,US,,
Molina Healthcare,MOH,"$19,883,000,000",molinahealthcare.com,2000-01-17,US,,
Fluor,FLR,"$19,521,000,000",fluor.com,1995-04-05,US,,
Altria Group,MO,"$19,494,000,000",altria.com,2000-03-15,US,,
Paccar,PCAR,"$19,456,000,000",paccar.com,1994-05-03,US,,
Hartford Financial Services,HIG,"$19,228,000,000",thehartford.com,1995-11-06,US,,
Kohl’s,KSS,"$19,095,000,000",kohls.com,1998-11-06,US,,
Western Digital,WDC,"$19,093,000,000",wdc.com,1992-05-15,US,,
Jabil,JBL,"$19,063,000,000",jabil.com,1993-03-31,US,,
Community Health Systems,CYH,"$18,477,000,000",chs.net,1996-07-19,US,,
Visa,V,"$18,358,000,000",visa.com,1994-08-03,US,,
Danaher,DHR,"$18,329,000,000",danaher.com,1996-07-25,US,,
Kimberly-Clark,KMB,"$18,259,000,000",kimberly-clark.com,1996-04-03,US,,
AECOM,ACM,"$18,203,000,000",aecom.com,1996-07-30,US,,
PNC Financial Services,PNC,"$18,035,000,000",pnc.com,1993-07-19,US,,
CenturyLink,LUMN,"$17,656,000,000",centurylink.com,2006-09-08,US,,
NextEra Energy,NEE,"$17,195,000,000",nexteraenergy.com,2007-10-26,US,,
PG&E Corp.,PCG,"$17,135,000,000",pgecorp.com,1997-04-16,US,,
Synnex,SNX,"$17,045,000,000",synnex.com,1994-01-19,US,,
WellCare Health Plans,,"$17,007,000,000",wellcare.com,1995-12-28,US,,
Performance Food Group,PFGC,"$16,761,000,000",pfgc.com,1997-08-05,US,,
Sears Holdings,SHLDQ,"$16,702,000,000",searsholdings.com,2004-11-17,US,,
Synchrony Financial,SYF,"$16,695,000,000",synchronyfinancial.com,2013-10-22,US,,
CarMax,KMX,"$16,637,000,000",carmax.com,1995-11-17,US,,
Bank of New York Mellon,BK,"$16,621,000,000",bnymellon.com,2006-04-12,US,,
Freeport-McMoRan,FCX,"$16,416,000,000",fcx.com,1995-06-09,US,,
Genuine Parts,,"$16,308,000,000",genpt.com,1995-07-09,US,,
Emerson Electric,EMR,"$16,301,000,000",emerson.com,1995-07-29,US,,
DaVita,DVA,"$16,038,000,000",davita.com,1998-03-01,US,,
Supervalu,,"$16,009,000,000",supervalu.com,1994-04-06,US,,
Gap,GPS,"$15,855,000,000",gapinc.com,1998-06-23,US,,
General Mills,GIS,"$15,619,000,000",generalmills.com,1997-08-18,US,,
Nordstrom,JWN,"$15,478,000,000",nordstrom.com,1994-07-14,US,,
Colgate-Palmolive,CL,"$15,454,000,000",colgatepalmolive.com,1998-06-02,US,,
American Electric Power,AEP,"$15,424,000,000",aep.com,1996-02-18,US,,
XPO Logistics,XPO,"$15,380,000,000",xpo.com,1995-06-23,US,,
Goodyear Tire & Rubber,GT,"$15,377,000,000",goodyear.com,1992-08-12,US,,
Omnicom Group,OMC,"$15,273,000,000",omnicomgroup.com,1998-04-23,US,,
CDW,CDW,"$15,191,000,000",cdw.com,1994-10-18,US,,
Sherwin-Williams,SHW,"$14,983,000,000",sherwin.com,1993-04-11,US,,
PPG Industries,PPG,"$14,967,000,000",ppg.com,1990-12-12,US,,
Texas Instruments,TXN,"$14,961,000,000",ti.com,1986-03-25,US,,
C.H. Robinson Worldwide,CHRW,"$14,869,000,000",chrobinson.com,1994-06-22,US,,
WestRock,WRK,"$14,859,000,000",westrock.com,1997-06-30,US,,
Cognizant Technology Solutions,CTSH,"$14,810,000,000",cognizant.com,1995-06-03,US,,
Newell Brands,NWL,"$14,742,000,000",newellbrands.com,2015-07-01,US,,
CBS,,"$14,710,000,000",cbscorporation.com,2003-02-09,US,,
Envision Healthcare,,"$14,700,000,000",evhc.net,2010-06-25,US,,
Monsanto,,"$14,640,000,000",monsanto.com,1989-08-11,US,,
Aramark,ARMK,"$14,604,000,000",aramark.com,1994-10-26,US,,
Applied Materials,,"$14,537,000,000",appliedmaterials.com,1995-11-17,US,,
Waste Management,WM,"$14,485,000,000",wm.com,1998-07-31,US,,
DISH Network,DISH,"$14,391,000,000",dish.com,1995-07-08,US,,
Illinois Tool Works,,"$14,314,000,000",itw.com,1995-05-04,US,,
Lincoln National,LNC,"$14,257,000,000",lfg.com,1996-01-02,US,,
HollyFrontier,HFC,"$14,251,000,000",hollyfrontier.com,2011-02-22,US,,
CBRE Group,CBRE,"$14,209,000,000",cbre.com,1998-05-22,US,,
Textron,TXT,"$14,198,000,000",textron.com,1992-04-13,US,,
Ross Stores,ROST,"$14,134,000,000",rossstores.com,1996-04-18,US,,
Principal Financial,PFG,"$14,093,000,000",principal.com,1995-09-01,US,,
D.R. Horton,DHI,"$14,091,000,000",drhorton.com,1997-02-05,US,,
Marsh & McLennan,MMC,"$14,024,000,000",mmc.com,1998-07-08,US,,
Devon Energy,DVN,"$13,949,000,000",devonenergy.com,1997-06-23,US,,
AES,AES,"$13,850,000,000",aes.com,1993-01-20,US,,
Ecolab,ECL,"$13,838,000,000",ecolab.com,1996-01-25,US,,
Land O’Lakes,,"$13,740,000,000",landolakesinc.com,1998-08-18,US,,
Loews,,"$13,735,000,000",loews.com,1997-05-28,US,,
Kinder Morgan,KMI,"$13,705,000,000",kindermorgan.com,1998-12-08,US,,
FirstEnergy,FE,"$13,627,000,000",firstenergycorp.com,1997-08-07,US,,
Occidental Petroleum,OXY,"$13,274,000,000",oxy.com,1992-02-17,US,,
Viacom,VIAC,"$13,263,000,000",viacom.com,1993-12-07,US,,
PayPal Holdings,PYPL,"$13,094,000,000",paypal.com,1999-07-14,US,,
NGL Energy Partners,NGL,"$13,022,000,000",nglenergypartners.com,2010-11-10,US,,
Celgene,,"$13,003,000,000",celgene.com,1996-06-27,US,,
Arconic,ARNC,"$12,960,000,000",arconic.com,2016-08-01,US,,
Kellogg,K,"$12,923,000,000",kelloggcompany.com,2002-10-24,US,,
Las Vegas Sands,LVS,"$12,882,000,000",sands.com,1999-03-01,US,,
Stanley Black & Decker,SWK,"$12,747,000,000",stanleyblackanddecker.com,2009-09-10,US,,
Booking Holdings,BKNG,"$12,681,000,000",bookingholdings.com,2017-12-21,US,,
Lennar,,"$12,646,000,000",lennar.com,1996-05-09,US,,
L Brands,LB,"$12,632,000,000",lb.com,1993-11-16,US,,
DTE Energy,DTE,"$12,607,000,000",dteenergy.com,1995-11-14,US,,
Dominion Energy,D,"$12,586,000,000",dominionenergy.com,1999-07-20,US,,
Reinsurance Group of America,RGA,"$12,515,000,000",rgare.com,1995-10-10,US,,
J.C. Penney,,"$12,506,000,000",jcpenney.com,1993-10-13,US,,
Mastercard,MA,"$12,497,000,000",mastercard.com,1994-07-27,US,,
BlackRock,BLK,"$12,491,000,000",blackrock.com,1997-11-26,US,,
Henry Schein,HSIC,"$12,461,000,000",henryschein.com,1995-02-10,US,,
Guardian Life Ins. Co. of America,,"$12,454,000,000",guardianlife.com,1994-12-28,US,,
Stryker,SYK,"$12,444,000,000",stryker.com,1995-01-06,US,,
Jefferies Financial Group,,"$12,407,000,000",jefferies.com,1996-03-05,US,,
VF,,"$12,399,000,000",vfc.com,1994-12-27,US,,
ADP,ADP,"$12,379,000,000",adp.com,1991-06-24,US,,
Edison International,EIX,"$12,320,000,000",edisoninvestor.com,1997-07-07,US,,
Biogen,BIIB,"$12,273,000,000",biogen.com,1995-04-14,US,,
United States Steel,X,"$12,250,000,000",ussteel.com,1997-01-14,US,,
Core-Mark Holding,CORE,"$12,225,000,000",core-mark.com,1998-03-16,US,,
Bed Bath & Beyond,BBBY,"$12,215,000,000",bedbathandbeyond.com,1996-11-17,US,,
Oneok,OKE,"$12,173,000,000",oneok.com,1995-08-19,US,,
BB&T Corp.,TFC,"$12,156,000,000",bbt.com,1991-01-24,US,,
Becton Dickinson,BDX,"$12,093,000,000",bd.com,1990-05-30,US,,
Ameriprise Financial,AMP,"$12,075,000,000",ameriprise.com,1999-08-12,US,,
Farmers Insurance Exchange,,"$12,071,000,000",farmers.com,1996-10-06,US,,
First Data,,"$12,052,000,000",firstdata.com,1995-04-14,US,,
Consolidated Edison,ED,"$12,033,000,000",conedison.com,1997-11-07,US,,
Parker-Hannifin,PH,"$12,029,000,000",parker.com,1995-02-24,US,,
Anadarko Petroleum,,"$11,908,000,000",anadarko.com,1994-12-01,US,,
Estee Lauder,EL,"$11,824,000,000",elcompanies.com,1998-06-25,US,,
State Street Corp.,STT,"$11,774,000,000",statestreet.com,1995-08-08,US,,
Tesla,TSLA,"$11,758,000,000",tesla.com,1992-04-11,US,,
Netflix,NFLX,"$11,692,000,000",netflix.com,1997-11-11,US,,
Alcoa,AA,"$11,652,000,000",alcoa.com,1986-05-11,US,,
Discover Financial Services,DFS,"$11,545,000,000",discover.com,1993-11-15,US,,
Praxair,,"$11,437,000,000",praxair.com,1995-06-04,US,,
CSX,CSX,"$11,408,000,000",csx.com,1995-05-17,US,,
Xcel Energy,XEL,"$11,404,000,000",xcelenergy.com,1999-05-28,US,,
Unum Group,UNM,"$11,286,000,000",unum.com,1996-06-08,US,,
Universal Health Services,UHS,"$11,278,000,000",uhsinc.com,1997-09-17,US,,
NRG Energy,NRG,"$11,275,000,000",nrg.com,1993-03-24,US,,
EOG Resources,EOG,"$11,208,000,000",eogresources.com,1999-07-21,US,,
Sempra Energy,SRE,"$11,207,000,000",sempra.com,1997-11-12,US,,
Toys “R” Us,,"$11,146,000,000",toysrusinc.com,2000-01-09,US,,
Group 1 Automotive,GPI,"$11,123,000,000",group1auto.com,1997-04-28,US,,
Entergy,ETR,"$11,074,000,000",entergy.com,1993-09-30,US,,
Molson Coors Brewing,TAP,"$11,002,000,000",molsoncoors.com,2004-07-15,US,,
L3 Technologies,,"$11,002,000,000",l3t.com,2002-07-08,US,,
Ball,BLL,"$10,983,000,000",ball.com,1991-02-26,US,,
AutoZone,AZO,"$10,888,000,000",autozone.com,1995-09-26,US,,
Murphy USA,MUSA,"$10,853,000,000",murphyusa.com,1996-09-04,US,,
MGM Resorts International,MGM,"$10,773,000,000",mgmresorts.com,2003-06-13,US,,
Office Depot,ODP,"$10,752,000,000",officedepot.com,1995-04-26,US,,
Huntsman,HUN,"$10,592,000,000",huntsman.com,1997-10-22,US,,
Baxter International,BAX,"$10,561,000,000",baxter.com,1992-01-23,US,,
Norfolk Southern,NSC,"$10,551,000,000",norfolksouthern.com,2002-03-20,US,,
salesforce.com,CRM,"$10,480,000,000",salesforce.com,1998-01-12,US,,
Laboratory Corp. of America,LH,"$10,441,000,000",labcorp.com,1995-11-07,US,,
W.W. Grainger,GWW,"$10,424,000,000",grainger.com,1994-03-23,US,,
Qurate Retail,,"$10,404,000,000",libertyinteractive.com,1999-05-15,US,,
Autoliv,ALV,"$10,382,000,000",autoliv.com,1998-03-25,US,,
Live Nation Entertainment,LYV,"$10,337,000,000",livenationentertainment.com,2005-12-12,US,,
Xerox,XRX,"$10,265,000,000",xerox.com,1986-09-01,US,,
Leidos Holdings,LDOS,"$10,170,000,000",leidos.com,2000-02-26,US,,
Corning,GLW,"$10,116,000,000",corning.com,1991-12-18,US,,
Lithia Motors,LAD,"$10,086,000,000",lithiainvestorrelations.com,2011-08-16,US,,
Expedia Group,EXPE,"$10,059,000,000",expediagroup.com,2005-03-18,US,,
Republic Services,RSG,"$10,041,000,000",republicservices.com,1998-02-07,US,,
Jacobs Engineering Group,J,"$10,022,000,000",jacobs.com,1994-07-05,US,,
Sonic Automotive,SAH,"$9,867,000,000",sonicautomotive.com,1998-11-06,US,,
Ally Financial,ALLY,"$9,866,000,000",ally.com,1995-04-27,US,,
LKQ,LKQ,"$9,848,000,000",lkqcorp.com,1998-04-24,US,,
BorgWarner,BWA,"$9,799,000,000",borgwarner.com,2002-04-20,US,,
Fidelity National Financial,FNF,"$9,769,000,000",fnf.com,1996-11-02,US,,
SunTrust Banks,,"$9,741,000,000",suntrust.com,1995-05-23,US,,
IQVIA Holdings,IQV,"$9,739,000,000",iqvia.com,2015-07-30,US,,
Reliance Steel & Aluminum,RS,"$9,721,000,000",rsac.com,1997-08-03,US,,
Nvidia,NVDA,"$9,714,000,000",nvidia.com,1993-04-20,US,,
Voya Financial,VOYA,"$9,660,000,000",voya.com,1999-04-20,US,,
CenterPoint Energy,CNP,"$9,614,000,000",centerpointenergy.com,2000-12-12,US,,
eBay,EBAY,"$9,567,000,000",ebay.com,1995-04-08,US,,
Eastman Chemical,EMN,"$9,549,000,000",eastman.com,1995-05-19,US,,
American Family Insurance Group,,"$9,545,000,000",amfam.com,1994-03-29,US,,
Steel Dynamics,STLD,"$9,538,000,000",steeldynamics.com,1999-04-27,US,,
Pacific Life,,"$9,510,000,000",pacificlife.com,1996-12-19,US,,
Chesapeake Energy,,"$9,496,000,000",chk.com,1999-03-17,US,,
Mohawk Industries,MHK,"$9,491,000,000",mohawkind.com,1996-12-03,US,,
Quanta Services,PWR,"$9,466,000,000",quantaservices.com,1998-06-17,US,,
Advance Auto Parts,AAP,"$9,373,000,000",advanceautoparts.com,1997-09-29,US,,
Owens & Minor,OMI,"$9,318,000,000",owens-minor.com,1997-05-29,US,,
United Natural Foods,UNFI,"$9,274,000,000",unfi.com,1997-09-06,US,,
Tenneco,TEN,"$9,274,000,000",tenneco.com,1995-05-31,US,,
Conagra Brands,CAG,"$9,234,000,000",conagrabrands.com,2002-06-02,US,,
GameStop,GME,"$9,224,000,000",gamestop.com,1997-04-22,US,,
Hormel Foods,HRL,"$9,167,000,000",hormelfoods.com,1996-04-19,US,,
Hilton Worldwide Holdings,HLT,"$9,140,000,000",hiltonworldwide.com,2000-11-12,US,,
Frontier Communications,FTRCQ,"$9,128,000,000",frontier.com,1992-06-19,US,,
Fidelity National Information Services,FIS,"$9,123,000,000",fisglobal.com,2009-01-27,US,,
Public Service Enterprise Group,PEG,"$9,084,000,000",pseg.com,1993-10-19,US,,
Boston Scientific,BSX,"$9,048,000,000",bostonscientific.com,1996-03-05,US,,
O’Reilly Automotive,ORLY,"$8,977,000,000",oreillyauto.com,1996-04-02,US,,
Charles Schwab,SCHW,"$8,960,000,000",aboutschwab.com,2000-08-03,US,,
Global Partners,GLP,"$8,920,000,000",globalp.com,1996-03-23,US,,
PVH,PVH,"$8,914,000,000",pvh.com,1997-06-26,US,,
Avis Budget Group,CAR,"$8,848,000,000",avisbudgetgroup.com,2006-01-30,US,,
Targa Resources,,"$8,814,000,000",targaresources.com,2003-07-02,US,,
Hertz Global Holdings,HTZGQ,"$8,803,000,000",hertz.com,1996-02-07,US,,
Calpine,CPN,"$8,752,000,000",calpine.com,1995-08-29,US,,
Mutual of Omaha Insurance,,"$8,731,000,000",mutualofomaha.com,1996-02-22,US,,
Crown Holdings,CCK,"$8,698,000,000",crowncork.com,1995-05-26,US,,
Peter Kiewit Sons’,,"$8,678,000,000",kiewit.com,1998-08-13,US,,
Dick’s Sporting Goods,DKS,"$8,590,000,000",dicks.com,1998-09-15,US,,
PulteGroup,PHM,"$8,573,000,000",pultegroupinc.com,2010-02-15,US,,
Navistar International,NAV,"$8,570,000,000",navistar.com,1993-12-16,US,,
Thrivent Financial for Lutherans,,"$8,527,000,000",thrivent.com,2000-02-05,US,,
DCP Midstream,DCP,"$8,462,000,000",dcpmidstream.com,2005-08-18,US,,
Air Products & Chemicals,APD,"$8,442,000,000",airproducts.com,1995-06-07,US,,
Veritiv,VRTV,"$8,364,000,000",veritivcorp.com,2014-05-14,US,,
AGCO,AGCO,"$8,306,000,000",agcocorp.com,1996-11-07,US,,
Genworth Financial,GNW,"$8,295,000,000",genworth.com,2003-08-10,US,,
Univar,UNVR,"$8,253,000,000",univar.com,1998-07-22,US,,
News Corp.,,"$8,139,000,000",newscorp.com,1995-10-04,US,,
SpartanNash,SPTN,"$8,128,000,000",spartannash.com,2013-08-15,US,,
Westlake Chemical,WLK,"$8,041,000,000",westlake.com,1994-09-27,US,,
Williams,WMB,"$8,031,000,000",williams.com,1999-12-01,US,,
